mean,label
97.092,0
90.651,1
94.914,1
89.195,1
91.146,1
97.775,0
97.864,0
88.804,1
103.001,0
97.16,0
89.714,1
97.234,0
100.059,0
88.04,1
94.65,1
95.118,1
96.767,0
95.749,0
84.711,1
99.65,0
98.861,0
98.748,0
98.599,0
94.424,1
93.822,1
98.168,0
90.023,1
98.203,0
99.421,0
97.046,0
90.777,1
84.428,1
91.497,1
97.341,0
96.398,0
99.413,0
95.976,0
98.001,0
90.3,1
87.332,1
99.204,0
97.178,0
99.14,0
110.857,1
82.087,1
92.422,1
96.355,0
97.279,0
96.338,0
94.418,1
101.946,0
96.829,0
85.806,1
98.092,0
99.692,0
98.367,0
93.913,1
94.07,1
95.095,1
82.426,1
71.255,1
89.575,1
85.82,1
99.133,0
99.44,0
69.035,1
94.366,1
91.213,1
96.351,0
88.732,1
89.654,1
96.662,0
93.861,1
95.119,1
96.363,0
69.806,1
89.693,1
93.623,1
88.112,1
91.852,1
102.385,0
96.495,0
86.774,1
62.447,1
92.861,1
91.221,1
98.123,0
97.859,0
98.186,0
92.881,1
97.588,0
82.221,1
93.604,1
96.653,0
96.69,0
92.856,1
99.781,0
96.982,0
96.589,0
98.418,0
94.826,1
100.19,0
86.124,1
96.523,0
88.965,1
89.137,1
98.627,0
75.975,1
96.846,0
88.256,1
94.639,1
98.455,0
88.316,1
97.307,0
98.102,0
90.65,1
98.073,0
92.25,1
85.949,1
97.458,0
101.454,0
91.371,1
95.403,1
87.925,1
96.468,0
96.772,0
97.956,0
97.759,0
95.803,0
98.858,0
83.27,1
99.055,0
98.103,0
89.224,1
95.335,1
92.033,1
97.14,0
98.849,0
89.934,1
98.874,0
72.723,1
95.367,1
85.669,1
91.781,1
91.85,1
98.036,0
96.633,0
96.98,0
100.595,0
96.723,0
93.713,1
93.434,1
97.508,0
94.907,1
97.634,0
102.469,0
64.211,1
91.746,1
88.883,1
95.529,1
80.873,1
96.264,0
98.036,0
76.929,1
102.092,0
95.24,1
92.272,1
91.927,1
81.177,1
92.162,1
92.878,1
85.221,1
99.922,0
98.234,0
91.514,1
98.588,0
93.644,1
83.935,1
95.726,0
99.533,0
100.762,0
94.647,1
95.739,0
88.558,1
95.78,0
104.626,0
100.809,0
96.962,0
96.696,0
82.198,1
97.109,0
95.664,0
95.806,0
93.104,1
95.84,0
98.684,0
95.178,1
82.441,1
94.083,1
98.446,0
89.604,1
93.24,1
98.19,0
96.288,0
88.727,1
94.893,1
87.469,1
98.035,0
100.679,0
98.247,0
83.874,1
84.066,1
79.501,1
96.68,0
94.005,1
100.053,0
90.512,1
97.509,0
92.122,1
97.682,0
93.224,1
108.916,0
87.212,1
88.166,1
98.816,0
97.822,0
97.918,0
97.413,0
89.206,1
93.313,1
95.795,0
92.363,1
99.164,0
96.9,0
95.191,1
96.957,0
88.295,1
87.91,1
92.26,1
95.429,1
95.498,1
88.485,1
97.535,0
85.788,1
83.668,1
97.299,0
83.423,1
96.403,0
95.331,1
96.57,0
94.362,1
92.07,1
82.877,1
88.565,1
92.033,1
105.957,0
96.171,0
88.695,1
97.473,0
94.538,1
89.676,1
97.559,0
98.364,0
95.942,0
98.345,0
95.516,1
89.089,1
82.585,1
95.147,1
94.089,1
92.933,1
91.507,1
98.322,0
96.486,0
94.469,1
84.199,1
82.215,1
84.805,1
98.099,0
97.266,0
98.57,0
94.666,1
84.474,1
94.801,1
97.698,0
94.708,1
97.558,0
102.854,0
97.624,0
95.512,1
94.739,1
91.652,1
97.161,0
95.067,1
97.966,0
96.821,0
91.714,1
100.158,0
98.179,0
97.91,0
95.944,0
98.616,0
95.593,1
96.097,0
96.149,0
93.948,1
96.758,0
81.009,1
100.323,0
98.663,0
94.392,1
96.345,0
93.044,1
93.824,1
92.562,1
95.857,0
96.541,0
98.795,0
99.026,0
95.369,1
98.258,0
90.035,1
87.182,1
101.627,0
94.775,1
92.351,1
95.497,1
94.7,1
97.165,0
94.626,1
98.083,0
98.303,0
99.763,0
82.971,1
97.625,0
98.63,0
97.001,0
89.518,1
98.055,0
96.473,0
91.838,1
95.486,1
103.775,0
97.025,0
85.734,1
98.916,0
90.276,1
93.16,1
92.596,1
93.757,1
100.112,0
89.946,1
75.875,1
97.355,0
87.943,1
98.575,0
96.715,0
98.058,0
72.019,1
98.854,0
71.355,1
93.441,1
96.992,0
92.972,1
85.408,1
98.51,0
94.216,1
95.053,1
108.46,0
84.409,1
94.647,1
91.173,1
95.681,0
85.516,1
94.691,1
97.696,0
96.182,0
90.176,1
92.439,1
84.92,1
88.447,1
94.109,1
87.392,1
95.806,0
101.313,0
91.952,1
97.794,0
97.765,0
97.33,0
91.513,1
91.023,1
87.921,1
95.31,1
93.031,1
90.857,1
96.4,0
92.999,1
96.107,0
93.445,1
97.821,0
90.978,1
94.563,1
88.511,1
96.879,0
98.082,0
91.771,1
98.669,0
91.456,1
97.965,0
96.257,0
99.036,0
91.061,1
93.754,1
110.809,1
95.634,0
100.488,0
97.588,0
94.297,1
95.327,1
93.484,1
96.263,0
92.493,1
95.402,1
101.289,0
92.928,1
95.64,0
99.244,0
86.73,1
97.308,0
87.626,1
91.583,1
91.48,1
98.228,0
94.376,1
91.012,1
93.47,1
95.954,0
87.404,1
97.764,0
96.633,0
89.474,1
93.643,1
79.538,1
100.454,0
97.497,0
92.1,1
99.69,0
