mean,label
111.488,0
113.02,0
113.717,0
119.795,0
112.536,0
93.295,1
111.393,0
115.191,0
120.318,0
89.419,1
114.645,0
101.081,1
110.284,0
113.084,0
98.239,1
115.802,0
114.376,0
92.697,1
114.728,0
111.277,0
112.785,0
92.509,1
115.541,0
117.634,0
119.571,0
115.015,0
114.948,0
115.486,0
118.432,0
92.532,1
100.138,1
109.519,0
99.712,1
117.873,0
114.175,0
117.403,0
115.462,0
117.522,0
100.068,1
115.107,0
114.778,0
115.196,0
118.696,0
115.768,0
100.56,1
112.286,0
120.793,0
95.94,1
118.519,0
112.612,0
114.978,0
118.813,0
112.693,0
100.238,1
112.445,0
109.067,0
95.306,1
116.275,0
102.619,1
95.023,1
115.363,0
114.284,0
115.252,0
113.686,0
115.764,0
109.289,0
115.103,0
114.896,0
116.021,0
118.567,0
100.854,1
113.068,0
115.955,0
111.058,0
110.531,0
108.94,0
100.885,1
105.29,1
101.256,1
112.816,0
93.969,1
93.705,1
124.05,0
84.636,1
111.187,0
116.098,0
97.673,1
117.911,0
115.652,0
115.904,0
115.542,0
95.153,1
115.761,0
113.564,0
113.114,0
114.824,0
114.041,0
92.553,1
114.196,0
117.042,0
114.742,0
106.814,1
115.024,0
114.503,0
107.689,0
102.314,1
113.174,0
101.698,1
117.793,0
116.331,0
120.777,0
88.244,1
97.704,1
111.439,0
116.469,0
91.014,1
117.402,0
115.334,0
112.345,0
116.062,0
102.567,1
115.608,0
111.81,0
116.512,0
96.188,1
100.332,1
116.509,0
99.95,1
114.242,0
112.421,0
115.986,0
116.961,0
98.707,1
118.529,0
116.251,0
111.79,0
116.135,0
116.724,0
122.312,0
96.057,1
112.173,0
113.792,0
111.926,0
115.526,0
116.092,0
114.771,0
94.122,1
117.425,0
116.05,0
88.116,1
116.749,0
115.879,0
113.859,0
112.437,0
116.208,0
115.147,0
91.968,1
109.914,0
114.475,0
112.795,0
94.842,1
112.051,0
116.134,0
116.87,0
111.384,0
112.326,0
113.459,0
114.853,0
113.82,0
120.004,0
97.286,1
116.928,0
102.444,1
117.822,0
110.542,0
90.511,1
110.778,0
115.385,0
114.483,0
111.01,0
116.479,0
116.666,0
110.593,0
101.559,1
116.159,0
114.404,0
96.132,1
114.806,0
115.878,0
117.392,0
115.033,0
116.922,0
102.438,1
116.921,0
98.391,1
119.354,0
107.409,1
94.477,1
115.312,0
93.966,1
118.419,0
111.659,0
114.915,0
96.879,1
112.887,0
111.342,0
104.589,1
115.595,0
119.336,0
114.753,0
113.815,0
111.977,0
124.553,0
117.159,0
97.087,1
111.491,0
95.655,1
114.897,0
111.927,0
115.584,0
97.034,1
118.429,0
112.477,0
90.148,1
116.134,0
117.575,0
116.217,0
119.237,0
94.117,1
97.3,1
115.789,0
112.494,0
116.91,0
94.385,1
114.954,0
102.734,1
115.21,0
113.47,0
92.11,1
95.144,1
114.38,0
113.366,0
115.896,0
113.862,0
111.194,0
120.888,0
118.051,0
113.472,0
116.759,0
120.881,0
100.301,1
117.625,0
116.462,0
114.017,0
116.652,0
109.447,0
117.573,0
114.46,0
113.674,0
115.808,0
114.025,0
99.094,1
113.667,0
111.867,0
98.769,1
119.265,0
108.435,0
117.531,0
112.427,0
111.121,0
112.733,0
115.583,0
118.153,0
115.228,0
118.554,0
117.092,0
96.042,1
116.838,0
111.783,0
115.421,0
120.387,0
113.523,0
114.671,0
115.893,0
110.972,0
114.734,0
99.464,1
116.409,0
115.83,0
110.692,0
100.238,1
115.171,0
95.092,1
113.445,0
116.882,0
115.494,0
113.686,0
112.214,0
114.724,0
117.101,0
116.661,0
110.583,0
112.491,0
98.752,1
117.084,0
117.376,0
97.42,1
99.111,1
112.968,0
114.908,0
114.524,0
115.237,0
112.379,0
115.595,0
111.409,0
98.036,1
98.371,1
113.887,0
117.303,0
98.888,1
116.441,0
111.234,0
117.91,0
115.832,0
111.988,0
115.335,0
112.8,0
97.398,1
114.33,0
101.369,1
115.407,0
94.185,1
98.679,1
119.534,0
114.136,0
92.718,1
112.482,0
98.632,1
115.117,0
94.91,1
116.806,0
110.827,0
93.697,1
114.058,0
96.775,1
95.968,1
109.645,0
110.857,0
96.946,1
116.866,0
114.582,0
110.953,0
112.149,0
116.124,0
112.954,0
114.767,0
115.392,0
115.936,0
118.763,0
95.863,1
110.789,0
116.301,0
86.625,1
93.717,1
117.385,0
99.386,1
118.161,0
110.171,0
114.631,0
114.191,0
96.221,1
116.753,0
111.594,0
99.442,1
116.3,0
92.761,1
115.783,0
99.763,1
113.855,0
116.292,0
118.582,0
114.044,0
115.18,0
115.248,0
119.346,0
88.808,1
116.005,0
113.739,0
115.672,0
109.986,0
108.606,0
94.806,1
117.721,0
112.51,0
107.421,1
110.795,0
115.107,0
101.136,1
96.355,1
116.092,0
117.471,0
97.404,1
111.71,0
92.515,1
118.833,0
92.394,1
118.222,0
109.478,0
115.867,0
96.368,1
111.636,0
116.505,0
117.042,0
